,timestamp,open,high,low,close,volume
0,1766979900,1554.9,1557.5,1551.1,1555.7,339693
1,1766981100,1556.1,1557.8,1554.4,1556.4,507993
2,1766982300,1556.2,1556.4,1551.4,1551.4,862466
3,1766983500,1551.6,1552.8,1549.6,1550.4,1036414
4,1766984700,1550.7,1551.0,1547.3,1548.9,1263609
5,1766985900,1548.7,1549.9,1547.7,1549.5,1384542
6,1766987100,1549.4,1549.9,1546.5,1547.9,1557738
7,1766988300,1547.5,1548.8,1545.5,1546.7,1694433
8,1766989500,1546.6,1550.0,1546.1,1549.1,1872416
9,1766990700,1549.0,1550.0,1547.5,1547.7,2051006
10,1766991900,1547.5,1548.8,1546.7,1547.7,2155168
11,1766993100,1547.6,1549.0,1547.0,1547.6,2583759
12,1766994300,1547.7,1547.7,1544.0,1545.0,2959104
13,1766995500,1544.9,1547.5,1544.4,1546.5,3102144
14,1766996700,1547.0,1548.5,1545.7,1546.0,3562184
15,1766997900,1546.2,1547.2,1544.0,1545.4,3985087
16,1766999100,1545.5,1546.9,1543.7,1546.0,4332299
17,1767000300,1546.1,1547.7,1544.4,1544.7,5555004
18,1767001500,1544.8,1547.2,1543.6,1546.8,5969550
19,1767066300,1547.0,1550.5,1543.3,1550.5,516092
20,1767067500,1550.6,1553.6,1549.5,1550.3,1092971
21,1767068700,1550.5,1551.0,1549.0,1550.5,1216817
22,1767069900,1550.4,1551.7,1550.2,1551.0,1332507
23,1767071100,1550.9,1551.1,1548.3,1549.2,1501335
24,1767072300,1548.8,1549.2,1545.3,1545.9,1754036
25,1767073500,1545.8,1546.4,1542.0,1543.0,2068469
26,1767074700,1542.7,1543.9,1540.0,1543.3,2274213
27,1767075900,1543.2,1544.2,1542.0,1543.0,2427909
28,1767077100,1543.1,1544.1,1542.8,1544.1,2704601
29,1767078300,1544.0,1546.9,1543.5,1544.3,3104058
30,1767079500,1544.4,1544.7,1542.4,1543.5,3334862
31,1767080700,1543.9,1544.9,1542.5,1544.8,3576058
32,1767081900,1544.4,1546.4,1543.1,1543.2,4094363
33,1767083100,1543.5,1544.7,1542.1,1543.5,4477675
34,1767084300,1543.6,1545.0,1541.6,1543.3,4850371
35,1767085500,1543.0,1544.2,1541.3,1543.1,5292990
36,1767086700,1543.0,1544.1,1537.9,1539.3,7568329
37,1767087900,1539.1,1542.4,1538.0,1540.5,8814828
38,1767152700,1541.0,1549.6,1541.0,1548.1,169432
39,1767153900,1548.0,1548.8,1544.7,1545.3,272696
40,1767155100,1545.2,1549.0,1544.7,1548.0,390936
41,1767156300,1547.9,1549.6,1547.5,1549.2,593769
42,1767157500,1549.0,1549.4,1547.0,1548.5,680912
43,1767158700,1548.3,1555.0,1547.6,1555.0,900819
44,1767159900,1554.8,1559.3,1554.8,1559.3,1165390
45,1767161100,1559.1,1568.3,1558.7,1566.2,1553252
46,1767162300,1566.6,1569.1,1565.2,1567.8,1744675
47,1767163500,1567.7,1568.0,1565.3,1566.3,1880839
48,1767164700,1566.7,1571.6,1566.2,1571.6,2200858
49,1767165900,1571.7,1573.0,1570.2,1572.5,2431905
50,1767167100,1572.3,1572.8,1570.0,1571.9,2618073
51,1767168300,1572.2,1574.5,1571.4,1573.6,2807623
52,1767169500,1573.7,1575.4,1572.5,1573.0,3266949
53,1767170700,1573.2,1574.3,1572.0,1573.4,3745899
54,1767171900,1573.3,1576.0,1573.1,1575.3,4151538
55,1767173100,1575.4,1577.0,1567.5,1567.9,5121295
56,1767174300,1567.8,1571.5,1567.8,1570.5,5768719
57,1767239100,1573.7,1592.4,1573.0,1588.3,980149
58,1767240300,1588.2,1589.7,1583.2,1583.7,1218273
59,1767241500,1584.3,1587.5,1582.2,1582.2,1508853
60,1767242700,1582.4,1583.4,1579.5,1581.2,1676796
61,1767243900,1581.5,1583.3,1578.5,1581.5,1879478
62,1767245100,1581.6,1582.0,1579.8,1580.4,2000011
63,1767246300,1580.7,1581.3,1577.2,1577.7,2139235
64,1767247500,1577.6,1578.5,1576.1,1576.6,2228199
65,1767248700,1577.0,1578.5,1575.5,1578.1,2374719
66,1767249900,1577.7,1579.0,1574.3,1579.0,2597517
67,1767251100,1578.8,1580.8,1575.3,1577.4,3158083
68,1767252300,1577.2,1577.6,1574.4,1575.2,3312306
69,1767253500,1574.8,1577.4,1573.0,1576.2,3877385
70,1767254700,1576.5,1581.4,1576.0,1580.0,4214099
71,1767255900,1580.5,1580.9,1577.9,1579.2,4344807
72,1767257100,1579.1,1580.1,1577.3,1579.0,4480720
73,1767258300,1578.7,1579.8,1577.0,1577.3,4619875
74,1767259500,1577.5,1579.6,1574.2,1575.0,5749754
75,1767260700,1574.4,1574.4,1571.1,1572.7,6402468
76,1767325500,1580.0,1587.0,1579.0,1584.9,400801
77,1767326700,1585.4,1589.0,1583.4,1589.0,709135
78,1767327900,1588.9,1589.9,1586.6,1588.9,899988
79,1767329100,1589.0,1589.4,1586.9,1588.8,1046964
80,1767330300,1588.9,1589.9,1585.2,1585.8,1506026
81,1767331500,1585.9,1586.2,1583.7,1584.0,1751949
82,1767332700,1583.7,1587.1,1582.6,1585.7,2027943
83,1767333900,1585.6,1588.4,1584.6,1588.3,2292455
84,1767335100,1588.4,1588.5,1586.1,1586.9,2521763
85,1767336300,1587.0,1590.0,1586.7,1588.9,2790404
86,1767337500,1589.0,1589.5,1587.7,1588.2,3142733
87,1767338700,1588.0,1589.8,1587.8,1589.5,3300328
88,1767339900,1589.6,1591.8,1589.2,1591.0,3597354
89,1767341100,1590.9,1592.9,1590.3,1591.0,4013923
90,1767342300,1590.8,1591.6,1589.4,1591.2,4315617
91,1767343500,1591.0,1592.3,1588.4,1589.4,4788451
92,1767344700,1589.9,1590.4,1588.9,1589.9,5124006
93,1767345900,1589.8,1594.4,1589.4,1592.9,5903610
94,1767347100,1592.5,1593.0,1591.3,1593.0,6601285
95,1767584700,1593.0,1611.8,1593.0,1597.6,1496569
96,1767585900,1597.8,1600.6,1595.7,1597.2,2032104
97,1767587100,1597.6,1599.0,1594.2,1598.9,2338964
